File,ENT(0)_cp_y,gs_y,cp_n,p,r,f,ENT(1)_cp_y,gs_y,cp_n,p,r,f
E:\Data\table_annotation\tmp\13th_Lok_Sabha_2973.html_3.xml.html.cell.keys,111,133,18,0.860465116,0.834586466,0.847328244,111,133,18,0.860465116,0.834586466,0.847328244
E:\Data\table_annotation\tmp\14th_Lok_Sabha_994e.html_14.xml.html.cell.keys,25,31,6,0.806451613,0.806451613,0.806451613,25,31,6,0.806451613,0.806451613,0.806451613
E:\Data\table_annotation\tmp\7_Studios_5645.html_0.xml.html.cell.keys,10,10,0,1,1,1,10,10,0,1,1,1
E:\Data\table_annotation\tmp\Aeropuertos_y_Servicios_Auxiliares_a1ee.html_0.xml.html.cell.keys,38,55,17,0.690909091,0.690909091,0.690909091,38,55,17,0.690909091,0.690909091,0.690909091
E:\Data\table_annotation\tmp\Alphabetical_list_of_municipalities_and_communities_in_Greece_8069.html_5.xml.html.cell.keys,31,47,16,0.659574468,0.659574468,0.659574468,31,47,16,0.659574468,0.659574468,0.659574468
E:\Data\table_annotation\tmp\Atlanta_Hawks_3a1a.html_0.xml.html.cell.keys,22,37,15,0.594594595,0.594594595,0.594594595,22,37,15,0.594594595,0.594594595,0.594594595
E:\Data\table_annotation\tmp\Aviation_in_Singapore_b8f5.html_0.xml.html.cell.keys,35,64,1,0.972222222,0.546875,0.7,35,64,1,0.972222222,0.546875,0.7
E:\Data\table_annotation\tmp\Baltimore_Mariners_0006.html_0.xml.html.cell.keys,12,12,0,1,1,1,12,12,0,1,1,1
E:\Data\table_annotation\tmp\Belgian_Ebony_Shoe_b217.html_0.xml.html.cell.keys,116,119,3,0.974789916,0.974789916,0.974789916,116,119,3,0.974789916,0.974789916,0.974789916
"E:\Data\table_annotation\tmp\Beresford_County,_New_South_Wales_9641.html_0.xml.html.cell.keys",49,49,0,1,1,1,49,49,0,1,1,1
E:\Data\table_annotation\tmp\Best_of_Eurovision_be62.html_0.xml.html.cell.keys,41,44,3,0.931818182,0.931818182,0.931818182,41,44,3,0.931818182,0.931818182,0.931818182
E:\Data\table_annotation\tmp\Bishop_of_Tonbridge_e12a.html_0.xml.html.cell.keys,6,9,2,0.75,0.666666667,0.705882353,6,9,2,0.75,0.666666667,0.705882353
E:\Data\table_annotation\tmp\Boris_Shilkov_932d.html_0.xml.html.cell.keys,4,5,1,0.8,0.8,0.8,4,5,1,0.8,0.8,0.8
E:\Data\table_annotation\tmp\Brisbane_Broncos_2007_f85a.html_3.xml.html.cell.keys,10,10,0,1,1,1,10,10,0,1,1,1
E:\Data\table_annotation\tmp\Canadian_veteran_licence_plates.html_0.xml.html.cell.keys,10,12,2,0.833333333,0.833333333,0.833333333,10,12,2,0.833333333,0.833333333,0.833333333
E:\Data\table_annotation\tmp\Canton_of_Le_Catelet_05f6.html_0.xml.html.cell.keys,16,18,2,0.888888889,0.888888889,0.888888889,16,18,2,0.888888889,0.888888889,0.888888889
E:\Data\table_annotation\tmp\Canton_of_Marquion_e508.html_0.xml.html.cell.keys,16,17,1,0.941176471,0.941176471,0.941176471,16,17,1,0.941176471,0.941176471,0.941176471
E:\Data\table_annotation\tmp\Capital_and_Counties_b9a1.html_0.xml.html.cell.keys,4,8,4,0.5,0.5,0.5,4,8,4,0.5,0.5,0.5
E:\Data\table_annotation\tmp\Carrera_Panamericana_4c5a.html_0.xml.html.cell.keys,5,5,0,1,1,1,5,5,0,1,1,1
E:\Data\table_annotation\tmp\Central_Greece_9697.html_1.xml.html.cell.keys,8,8,0,1,1,1,8,8,0,1,1,1
E:\Data\table_annotation\tmp\Central_Highlands_Province_f6e0.html_0.xml.html.cell.keys,11,11,0,1,1,1,11,11,0,1,1,1
E:\Data\table_annotation\tmp\Chapters_of_Alpha_Kappa_Psi_74d7.html_1.xml.html.cell.keys,14,47,33,0.29787234,0.29787234,0.29787234,14,47,33,0.29787234,0.29787234,0.29787234
E:\Data\table_annotation\tmp\Chicago_Cubs_team_records_b45c.html_12.xml.html.cell.keys,5,5,0,1,1,1,5,5,0,1,1,1
E:\Data\table_annotation\tmp\Chief_Minister_of_the_Northern_Territory_be79.html_0.xml.html.cell.keys,22,22,0,1,1,1,22,22,0,1,1,1
E:\Data\table_annotation\tmp\Chinese_swords.html_0.xml.html.cell.keys,18,35,2,0.9,0.514285714,0.654545455,18,35,2,0.9,0.514285714,0.654545455
E:\Data\table_annotation\tmp\Chris_Alajajian_2b21.html_1.xml.html.cell.keys,4,4,0,1,1,1,4,4,0,1,1,1
E:\Data\table_annotation\tmp\CMX_discography_7efa.html_0.xml.html.cell.keys,13,15,1,0.928571429,0.866666667,0.896551724,13,15,1,0.928571429,0.866666667,0.896551724
E:\Data\table_annotation\tmp\Comarques_of_Catalonia_a70c.html_1.xml.html.cell.keys,51,52,1,0.980769231,0.980769231,0.980769231,51,52,1,0.980769231,0.980769231,0.980769231
E:\Data\table_annotation\tmp\Commedia_all'italiana.html_0.xml.html.cell.keys,159,166,4,0.975460123,0.957831325,0.96656535,159,166,7,0.957831325,0.957831325,0.957831325
E:\Data\table_annotation\tmp\Communes_of_the_Essonne_department_7d4a.html_1.xml.html.cell.keys,95,98,3,0.969387755,0.969387755,0.969387755,95,98,3,0.969387755,0.969387755,0.969387755
E:\Data\table_annotation\tmp\Communes_of_the_Var_department_e37f.html_1.xml.html.cell.keys,76,78,2,0.974358974,0.974358974,0.974358974,76,78,2,0.974358974,0.974358974,0.974358974
E:\Data\table_annotation\tmp\Comuni_of_the_Province_of_Naples_92ce.html_0.xml.html.cell.keys,88,91,3,0.967032967,0.967032967,0.967032967,88,91,3,0.967032967,0.967032967,0.967032967
"E:\Data\table_annotation\tmp\County_of_Nares,_Queensland_eccc.html_0.xml.html.cell.keys",23,36,13,0.638888889,0.638888889,0.638888889,23,36,13,0.638888889,0.638888889,0.638888889
E:\Data\table_annotation\tmp\County_statistics_of_the_United_States_66c4.html_4.xml.html.cell.keys,41,46,5,0.891304348,0.891304348,0.891304348,41,46,5,0.891304348,0.891304348,0.891304348
E:\Data\table_annotation\tmp\Danish_Superliga_1995-96_829e.html_1.xml.html.cell.keys,13,15,2,0.866666667,0.866666667,0.866666667,13,15,2,0.866666667,0.866666667,0.866666667
E:\Data\table_annotation\tmp\Danny_DeVito_filmography_9079.html_0.xml.html.cell.keys,48,51,3,0.941176471,0.941176471,0.941176471,48,51,3,0.941176471,0.941176471,0.941176471
E:\Data\table_annotation\tmp\Demographics_of_the_Swiss_Federal_Council_130f.html_6.xml.html.cell.keys,14,14,0,1,1,1,14,14,0,1,1,1
E:\Data\table_annotation\tmp\Diet_Pepsi_NFL_Rookie_of_the_Week_1657.html_1.xml.html.cell.keys,10,10,0,1,1,1,10,10,0,1,1,1
E:\Data\table_annotation\tmp\Division_I_94db.html_0.xml.html.cell.keys,16,20,4,0.8,0.8,0.8,16,20,4,0.8,0.8,0.8
E:\Data\table_annotation\tmp\Eddie_Robinson_Coach_of_the_Year_cc5c.html_0.xml.html.cell.keys,59,63,4,0.936507937,0.936507937,0.936507937,59,63,4,0.936507937,0.936507937,0.936507937
E:\Data\table_annotation\tmp\Ed_Pimm_3df7.html_0.xml.html.cell.keys,5,5,0,1,1,1,5,5,0,1,1,1
E:\Data\table_annotation\tmp\Electoral_district_of_Newland_39c6.html_0.xml.html.cell.keys,7,8,1,0.875,0.875,0.875,7,8,1,0.875,0.875,0.875
"E:\Data\table_annotation\tmp\El_Paso,_Texas_243a.html_3.xml.html.cell.keys",15,24,7,0.681818182,0.625,0.652173913,15,24,7,0.681818182,0.625,0.652173913
E:\Data\table_annotation\tmp\ESPN_NFL_2K_966d.html_0.xml.html.cell.keys,8,9,1,0.888888889,0.888888889,0.888888889,8,9,1,0.888888889,0.888888889,0.888888889
E:\Data\table_annotation\tmp\Estonia.html_2.xml.html.cell.keys,9,9,0,1,1,1,9,9,0,1,1,1
E:\Data\table_annotation\tmp\EuroBasket_2007_squads_8fed.html_13.xml.html.cell.keys,16,19,2,0.888888889,0.842105263,0.864864865,16,19,2,0.888888889,0.842105263,0.864864865
E:\Data\table_annotation\tmp\Fast_bowling.html_1.xml.html.cell.keys,12,12,0,1,1,1,12,12,0,1,1,1
E:\Data\table_annotation\tmp\FIFA_100_44ce.html_7.xml.html.cell.keys,14,14,0,1,1,1,14,14,0,1,1,1
E:\Data\table_annotation\tmp\Fifth_dynasty_of_Egypt_687d.html_0.xml.html.cell.keys,18,23,4,0.818181818,0.782608696,0.8,18,23,4,0.818181818,0.782608696,0.8
E:\Data\table_annotation\tmp\file398415_0_cols1_rows58.xml.html.cell.keys,17,20,2,0.894736842,0.85,0.871794872,17,20,2,0.894736842,0.85,0.871794872
E:\Data\table_annotation\tmp\file404761_0_cols1_rows11.xml.html.cell.keys,9,9,0,1,1,1,9,9,0,1,1,1
E:\Data\table_annotation\tmp\file405599_0_cols1_rows23.xml.html.cell.keys,7,9,2,0.777777778,0.777777778,0.777777778,7,9,2,0.777777778,0.777777778,0.777777778
E:\Data\table_annotation\tmp\file440470_0_cols1_rows26.xml.html.cell.keys,15,15,0,1,1,1,15,15,0,1,1,1
E:\Data\table_annotation\tmp\file526591_0_cols1_rows20.xml.html.cell.keys,4,5,1,0.8,0.8,0.8,4,5,1,0.8,0.8,0.8
E:\Data\table_annotation\tmp\Final_24.html_0.xml.html.cell.keys,9,12,3,0.75,0.75,0.75,9,12,3,0.75,0.75,0.75
E:\Data\table_annotation\tmp\Fixed_dose_combination_(antiretroviral).html_0.xml.html.cell.keys,5,13,1,0.833333333,0.384615385,0.526315789,5,13,1,0.833333333,0.384615385,0.526315789
E:\Data\table_annotation\tmp\Former_municipalities_of_Norway_c4a3.html_8.xml.html.cell.keys,59,84,23,0.719512195,0.702380952,0.710843373,59,84,23,0.719512195,0.702380952,0.710843373
E:\Data\table_annotation\tmp\Former_Southern_Conference_members_0958.html_0.xml.html.cell.keys,45,103,56,0.445544554,0.436893204,0.441176471,45,103,56,0.445544554,0.436893204,0.441176471
E:\Data\table_annotation\tmp\Generation_Adidas_28bc.html_4.xml.html.cell.keys,15,19,4,0.789473684,0.789473684,0.789473684,15,19,4,0.789473684,0.789473684,0.789473684
"E:\Data\table_annotation\tmp\Gowen_County,_New_South_Wales_ef76.html_0.xml.html.cell.keys",3,3,0,1,1,1,3,3,0,1,1,1
E:\Data\table_annotation\tmp\GraphiCon_ca64.html_0.xml.html.cell.keys,9,15,6,0.6,0.6,0.6,9,15,6,0.6,0.6,0.6
E:\Data\table_annotation\tmp\Highest-income_counties_in_the_United_States_631d.html_2.xml.html.cell.keys,72,98,26,0.734693878,0.734693878,0.734693878,72,98,29,0.712871287,0.734693878,0.72361809
E:\Data\table_annotation\tmp\Hladno_pivo.html_0.xml.html.cell.keys,10,11,0,1,0.909090909,0.952380952,10,11,0,1,0.909090909,0.952380952
E:\Data\table_annotation\tmp\House_(TV_series)_e301.html_0.xml.html.cell.keys,18,18,0,1,1,1,18,18,0,1,1,1
E:\Data\table_annotation\tmp\Houston_Texans_draft_history_2b62.html_6.xml.html.cell.keys,12,17,5,0.705882353,0.705882353,0.705882353,12,17,5,0.705882353,0.705882353,0.705882353
E:\Data\table_annotation\tmp\Independent_Wrestling_Federation_(Russia)_2ec2.html_0.xml.html.cell.keys,6,6,0,1,1,1,6,6,0,1,1,1
E:\Data\table_annotation\tmp\Iowa.html_4.xml.html.cell.keys,9,13,4,0.692307692,0.692307692,0.692307692,9,13,4,0.692307692,0.692307692,0.692307692
E:\Data\table_annotation\tmp\Italian_Canadians_93aa.html_0.xml.html.cell.keys,12,13,1,0.923076923,0.923076923,0.923076923,12,13,1,0.923076923,0.923076923,0.923076923
E:\Data\table_annotation\tmp\Jeff_Tweedy_ce20.html_1.xml.html.cell.keys,15,17,2,0.882352941,0.882352941,0.882352941,15,17,2,0.882352941,0.882352941,0.882352941
E:\Data\table_annotation\tmp\Juventus_F.C._statistics_and_records_26e0.html_0.xml.html.cell.keys,10,10,0,1,1,1,10,10,0,1,1,1
E:\Data\table_annotation\tmp\KVNE_da85.html_0.xml.html.cell.keys,4,4,0,1,1,1,4,4,0,1,1,1
"E:\Data\table_annotation\tmp\Lee_County,_Florida_fdc0.html_0.xml.html.cell.keys",11,12,1,0.916666667,0.916666667,0.916666667,11,12,1,0.916666667,0.916666667,0.916666667
E:\Data\table_annotation\tmp\List_of_African_countries_by_GDP_per_capita_b8bb.html_0.xml.html.cell.keys,50,52,2,0.961538462,0.961538462,0.961538462,50,52,2,0.961538462,0.961538462,0.961538462
E:\Data\table_annotation\tmp\List_of_airports_in_the_United_Kingdom_16d1.html_1.xml.html.cell.keys,12,15,3,0.8,0.8,0.8,12,15,3,0.8,0.8,0.8
E:\Data\table_annotation\tmp\List_of_Athabasca_University_people_bac1.html_0.xml.html.cell.keys,5,7,2,0.714285714,0.714285714,0.714285714,5,7,2,0.714285714,0.714285714,0.714285714
E:\Data\table_annotation\tmp\List_of_Australian_game_shows_0fc4.html_1.xml.html.cell.keys,11,19,7,0.611111111,0.578947368,0.594594595,11,19,7,0.611111111,0.578947368,0.594594595
E:\Data\table_annotation\tmp\List_of_Australian_Prime_Ministers_by_time_in_office_1a2f.html_0.xml.html.cell.keys,25,26,1,0.961538462,0.961538462,0.961538462,25,26,1,0.961538462,0.961538462,0.961538462
E:\Data\table_annotation\tmp\List_of_Avengers_members_8400.html_11.xml.html.cell.keys,4,8,4,0.5,0.5,0.5,4,8,4,0.5,0.5,0.5
E:\Data\table_annotation\tmp\List_of_birds_of_Thailand_4230.html_47.xml.html.cell.keys,35,35,0,1,1,1,35,35,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Canadian_airports_by_location_indicator~_CJ_27f2.html_0.xml.html.cell.keys,183,214,31,0.855140187,0.855140187,0.855140187,183,214,31,0.855140187,0.855140187,0.855140187
E:\Data\table_annotation\tmp\List_of_Canadian_airports_by_location_indicator~_CV_5365.html_0.xml.html.cell.keys,13,20,7,0.65,0.65,0.65,13,20,7,0.65,0.65,0.65
E:\Data\table_annotation\tmp\List_of_cast_members_of_The_Simpsons_878d.html_2.xml.html.cell.keys,7,10,1,0.875,0.7,0.777777778,7,10,1,0.875,0.7,0.777777778
E:\Data\table_annotation\tmp\List_of_Catalan_language_television_channels_169d.html_14.xml.html.cell.keys,10,16,6,0.625,0.625,0.625,10,16,6,0.625,0.625,0.625
E:\Data\table_annotation\tmp\List_of_champagne_producers.html_0.xml.html.cell.keys,109,115,5,0.956140351,0.947826087,0.951965066,109,115,5,0.956140351,0.947826087,0.951965066
E:\Data\table_annotation\tmp\List_of_cities_in_Norway_c220.html_0.xml.html.cell.keys,64,68,4,0.941176471,0.941176471,0.941176471,64,68,4,0.941176471,0.941176471,0.941176471
E:\Data\table_annotation\tmp\List_of_Daytona_500_broadcasters_861d.html_1.xml.html.cell.keys,65,110,45,0.590909091,0.590909091,0.590909091,65,110,45,0.590909091,0.590909091,0.590909091
E:\Data\table_annotation\tmp\List_of_Disney_theatrical_animated_features_b17e.html_0.xml.html.cell.keys,29,29,0,1,1,1,29,29,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Doctor_Who_serials_d22a.html_4.xml.html.cell.keys,13,15,2,0.866666667,0.866666667,0.866666667,13,15,2,0.866666667,0.866666667,0.866666667
E:\Data\table_annotation\tmp\List_of_Dutch_flags_5b3e.html_1.xml.html.cell.keys,8,8,0,1,1,1,8,8,0,1,1,1
E:\Data\table_annotation\tmp\List_of_expressways_and_highways_in_Malaysia_fd41.html_2.xml.html.cell.keys,7,7,0,1,1,1,7,7,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Finnish_composers_0e0c.html_1.xml.html.cell.keys,13,16,0,1,0.8125,0.896551724,13,16,0,1,0.8125,0.896551724
E:\Data\table_annotation\tmp\List_of_foreign_ministers_in_1990.html_2.xml.html.cell.keys,21,23,1,0.954545455,0.913043478,0.933333333,21,23,1,0.954545455,0.913043478,0.933333333
E:\Data\table_annotation\tmp\List_of_game_show_hosts.html_4.xml.html.cell.keys,47,56,4,0.921568627,0.839285714,0.878504673,47,56,4,0.921568627,0.839285714,0.878504673
E:\Data\table_annotation\tmp\List_of_Governors_of_Kansas_38ec.html_3.xml.html.cell.keys,6,6,0,1,1,1,6,6,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Governors_of_Louisiana_70f6.html_7.xml.html.cell.keys,4,4,0,1,1,1,4,4,0,1,1,1
E:\Data\table_annotation\tmp\List_of_high_schools_in_Indiana_c5c1.html_3.xml.html.cell.keys,8,11,3,0.727272727,0.727272727,0.727272727,8,11,3,0.727272727,0.727272727,0.727272727
E:\Data\table_annotation\tmp\List_of_high_schools_in_Indiana_c5c1.html_31.xml.html.cell.keys,11,11,0,1,1,1,11,11,0,1,1,1
E:\Data\table_annotation\tmp\List_of_ice_hockey_teams_in_Quebec_09ec.html_10.xml.html.cell.keys,10,11,0,1,0.909090909,0.952380952,10,11,0,1,0.909090909,0.952380952
E:\Data\table_annotation\tmp\List_of_Indigenous_Australian_group_names_51f7.html_15.xml.html.cell.keys,7,8,1,0.875,0.875,0.875,7,8,1,0.875,0.875,0.875
E:\Data\table_annotation\tmp\List_of_Kappa_Alpha_Psi_brothers_18d0.html_10.xml.html.cell.keys,35,78,32,0.52238806,0.448717949,0.482758621,35,78,32,0.52238806,0.448717949,0.482758621
E:\Data\table_annotation\tmp\List_of_Lancashire_County_Cricket_Club_records_9066.html_5.xml.html.cell.keys,12,22,10,0.545454545,0.545454545,0.545454545,12,22,10,0.545454545,0.545454545,0.545454545
E:\Data\table_annotation\tmp\List_of_LGBT_characters_in_modern_written_fiction_84cf.html_9.xml.html.cell.keys,14,14,0,1,1,1,14,14,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Members_of_the_European_Parliament_2004-2009_541b.html_13.xml.html.cell.keys,12,18,5,0.705882353,0.666666667,0.685714286,12,18,7,0.631578947,0.666666667,0.648648649
E:\Data\table_annotation\tmp\List_of_metropolitan_areas_in_Taiwan_f4ef.html_0.xml.html.cell.keys,4,7,3,0.571428571,0.571428571,0.571428571,4,7,3,0.571428571,0.571428571,0.571428571
E:\Data\table_annotation\tmp\List_of_minimum_wages_in_Canada_9ce7.html_0.xml.html.cell.keys,12,12,0,1,1,1,12,12,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Nintendo_GameCube_games_37a3.html_11.xml.html.cell.keys,11,11,0,1,1,1,11,11,0,1,1,1
E:\Data\table_annotation\tmp\List_of_number-one_singles_in_Australia_during_the_1980s_cf98.html_8.xml.html.cell.keys,27,31,3,0.9,0.870967742,0.885245902,27,31,3,0.9,0.870967742,0.885245902
E:\Data\table_annotation\tmp\List_of_peaks_named_Bear_Mountain_0474.html_0.xml.html.cell.keys,107,159,52,0.672955975,0.672955975,0.672955975,107,159,52,0.672955975,0.672955975,0.672955975
"E:\Data\table_annotation\tmp\List_of_people_from_Savannah,_Georgia_da72.html_0.xml.html.cell.keys",13,18,4,0.764705882,0.722222222,0.742857143,13,18,4,0.764705882,0.722222222,0.742857143
E:\Data\table_annotation\tmp\List_of_people_with_epilepsy.html_11.xml.html.cell.keys,30,30,0,1,1,1,30,30,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Philippine_provinces_by_population_9d11.html_0.xml.html.cell.keys,56,91,35,0.615384615,0.615384615,0.615384615,56,91,35,0.615384615,0.615384615,0.615384615
E:\Data\table_annotation\tmp\List_of_poliomyelitis_survivors.html_9.xml.html.cell.keys,26,43,0,1,0.604651163,0.753623188,26,43,0,1,0.604651163,0.753623188
E:\Data\table_annotation\tmp\List_of_Presidents_of_the_French_Republic_0bfc.html_0.xml.html.cell.keys,15,15,0,1,1,1,15,15,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Puerto_Rican_Academy_Award_winners_and_nominees_c63a.html_0.xml.html.cell.keys,17,18,1,0.944444444,0.944444444,0.944444444,17,18,1,0.944444444,0.944444444,0.944444444
E:\Data\table_annotation\tmp\List_of_Puisne_Justices_of_the_Supreme_Court_of_Canada_4ebb.html_0.xml.html.cell.keys,248,342,80,0.756097561,0.725146199,0.740298507,248,342,80,0.756097561,0.725146199,0.740298507
E:\Data\table_annotation\tmp\List_of_rivers_of_the_United_Kingdom_1a51.html_0.xml.html.cell.keys,20,20,0,1,1,1,20,20,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Seinfeld_minor_characters_0df6.html_5.xml.html.cell.keys,49,49,0,1,1,1,49,49,0,1,1,1
E:\Data\table_annotation\tmp\List_of_settlements_in_Hertfordshire_by_population_65f9.html_0.xml.html.cell.keys,43,48,5,0.895833333,0.895833333,0.895833333,43,48,5,0.895833333,0.895833333,0.895833333
E:\Data\table_annotation\tmp\List_of_Shopping_Centres_in_Australia_by_size_c80f.html_0.xml.html.cell.keys,57,73,16,0.780821918,0.780821918,0.780821918,57,73,16,0.780821918,0.780821918,0.780821918
"E:\Data\table_annotation\tmp\List_of_space_exploration_milestones,_1957-1969.html_2.xml.html.cell.keys",14,26,4,0.777777778,0.538461538,0.636363636,14,26,4,0.777777778,0.538461538,0.636363636
E:\Data\table_annotation\tmp\List_of_Star_Trek_characters_4bf8.html_1.xml.html.cell.keys,12,12,0,1,1,1,12,12,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Star_Trek_characters_4bf8.html_6.xml.html.cell.keys,13,13,0,1,1,1,13,13,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Strawberry_Shortcake_video_games_cf93.html_0.xml.html.cell.keys,17,19,2,0.894736842,0.894736842,0.894736842,17,19,2,0.894736842,0.894736842,0.894736842
E:\Data\table_annotation\tmp\List_of_superlative_Academy_Award_winners_and_nominees_52c5.html_3.xml.html.cell.keys,10,10,0,1,1,1,10,10,0,1,1,1
E:\Data\table_annotation\tmp\List_of_Test_cricket_grounds_ad94.html_9.xml.html.cell.keys,15,17,1,0.9375,0.882352941,0.909090909,15,17,1,0.9375,0.882352941,0.909090909
E:\Data\table_annotation\tmp\List_of_The_Daily_Show_guests_(1998)_c8e2.html_0.xml.html.cell.keys,41,46,5,0.891304348,0.891304348,0.891304348,41,46,5,0.891304348,0.891304348,0.891304348
E:\Data\table_annotation\tmp\List_of_The_Daily_Show_guests_(2006)_270c.html_11.xml.html.cell.keys,3,11,8,0.272727273,0.272727273,0.272727273,3,11,8,0.272727273,0.272727273,0.272727273
E:\Data\table_annotation\tmp\List_of_trolleybus_systems_in_the_United_Kingdom_e871.html_8.xml.html.cell.keys,3,6,3,0.5,0.5,0.5,3,6,3,0.5,0.5,0.5
E:\Data\table_annotation\tmp\List_of_victims_of_Nazism_be15.html_5.xml.html.cell.keys,15,29,5,0.75,0.517241379,0.612244898,15,29,5,0.75,0.517241379,0.612244898
E:\Data\table_annotation\tmp\Longitude_prize.html_0.xml.html.cell.keys,8,14,1,0.888888889,0.571428571,0.695652174,8,14,1,0.888888889,0.571428571,0.695652174
E:\Data\table_annotation\tmp\Miami_Heat_all-time_roster_6676.html_1.xml.html.cell.keys,17,27,10,0.62962963,0.62962963,0.62962963,17,27,10,0.62962963,0.62962963,0.62962963
E:\Data\table_annotation\tmp\Michael_Tuck_Medal_ce06.html_0.xml.html.cell.keys,40,43,3,0.930232558,0.930232558,0.930232558,40,43,3,0.930232558,0.930232558,0.930232558
E:\Data\table_annotation\tmp\Ministry_for_the_Environment_(New_Zealand)_8425.html_0.xml.html.cell.keys,7,10,3,0.7,0.7,0.7,7,10,3,0.7,0.7,0.7
E:\Data\table_annotation\tmp\Minnesota's_7th_congressional_district.html_0.xml.html.cell.keys,15,24,6,0.714285714,0.625,0.666666667,15,24,6,0.714285714,0.625,0.666666667
E:\Data\table_annotation\tmp\Moorish_Revival_2c45.html_0.xml.html.cell.keys,28,36,8,0.777777778,0.777777778,0.777777778,28,36,8,0.777777778,0.777777778,0.777777778
E:\Data\table_annotation\tmp\Municipality_numbers_of_Norway_c032.html_14.xml.html.cell.keys,40,48,7,0.85106383,0.833333333,0.842105263,40,48,7,0.85106383,0.833333333,0.842105263
"E:\Data\table_annotation\tmp\Nashville,_Tennessee_0fa5.html_2.xml.html.cell.keys",9,10,0,1,0.9,0.947368421,9,10,0,1,0.9,0.947368421
E:\Data\table_annotation\tmp\Norm_Smith_Medal_7f49.html_0.xml.html.cell.keys,93,99,6,0.939393939,0.939393939,0.939393939,93,99,6,0.939393939,0.939393939,0.939393939
E:\Data\table_annotation\tmp\Northstate_Public_Radio_c974.html_0.xml.html.cell.keys,1,12,5,0.166666667,0.083333333,0.111111111,1,12,5,0.166666667,0.083333333,0.111111111
