File,ENT(0)_cp_y,gs_y,cp_n,p,r,f,ENT(1)_cp_y,gs_y,cp_n,p,r,f
"E:\Data\table_annotation\tmp\13th_Lok_Sabha_2973.html_3.xml.html.cell.keys",88.3,133.0,40.7,0.6844961240310077,0.6639097744360902,0.6740458015267174,88.3,133.0,75.7,0.5384146341463415,0.6639097744360902,0.5946127946127946,
"E:\Data\table_annotation\tmp\14th_Lok_Sabha_994e.html_14.xml.html.cell.keys",24.833333333333332,31.0,6.166666666666667,0.8010752688172043,0.8010752688172043,0.8010752688172043,24.833333333333332,31.0,9.166666666666666,0.7303921568627451,0.8010752688172043,0.7641025641025642,
"E:\Data\table_annotation\tmp\7_Studios_5645.html_0.xml.html.cell.keys",6.916666666666666,10.0,3.083333333333334,0.6916666666666667,0.6916666666666667,0.6916666666666667,6.916666666666666,10.0,10.083333333333332,0.40686274509803916,0.6916666666666667,0.5123456790123456,
"E:\Data\table_annotation\tmp\Aeropuertos_y_Servicios_Auxiliares_a1ee.html_0.xml.html.cell.keys",33.7504329004329,55.0,21.2495670995671,0.6136442345533254,0.6136442345533254,0.6136442345533254,33.7504329004329,55.0,69.24956709956709,0.32767410582944567,0.6136442345533254,0.42722066962573296,
"E:\Data\table_annotation\tmp\Alphabetical_list_of_municipalities_and_communities_in_Greece_8069.html_5.xml.html.cell.keys",31.88333333333333,47.0,15.116666666666665,0.6783687943262412,0.6783687943262411,0.6783687943262412,31.88333333333333,47.0,62.11666666666666,0.3391843971631206,0.6783687943262411,0.4522458628841608,
"E:\Data\table_annotation\tmp\Atlanta_Hawks_3a1a.html_0.xml.html.cell.keys",19.225432900432896,37.0,17.7745670995671,0.5196062946062945,0.5196062946062945,0.5196062946062945,19.225432900432896,37.0,50.77456709956709,0.2746490414347557,0.5196062946062945,0.35935388598939993,
"E:\Data\table_annotation\tmp\Aviation_in_Singapore_b8f5.html_0.xml.html.cell.keys",25.28333333333333,64.0,10.716666666666665,0.7023148148148147,0.3950520833333333,0.5056666666666667,25.28333333333333,64.0,26.71666666666667,0.48621794871794866,0.3950520833333333,0.435919540229885,
"E:\Data\table_annotation\tmp\Baltimore_Mariners_0006.html_0.xml.html.cell.keys",12.0,12.0,0.0,1.0,1.0,1.0,12.0,12.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\Belgian_Ebony_Shoe_b217.html_0.xml.html.cell.keys",58.279761904761905,119.0,60.720238095238095,0.48974589835934373,0.48974589835934373,0.48974589835934373,58.279761904761905,119.0,90.7202380952381,0.39113934164269737,0.48974589835934373,0.43492359630419336,
"E:\Data\table_annotation\tmp\Beresford_County,_New_South_Wales_9641.html_0.xml.html.cell.keys",49.0,49.0,0.0,1.0,1.0,1.0,49.0,49.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\Best_of_Eurovision_be62.html_0.xml.html.cell.keys",34.833333333333336,44.0,9.166666666666668,0.7916666666666667,0.7916666666666667,0.7916666666666667,34.833333333333336,44.0,12.166666666666666,0.7411347517730497,0.7916666666666667,0.7655677655677656,
"E:\Data\table_annotation\tmp\Bishop_of_Tonbridge_e12a.html_0.xml.html.cell.keys",6.0,9.0,2.0,0.75,0.6666666666666666,0.7058823529411765,6.0,9.0,2.0,0.75,0.6666666666666666,0.7058823529411765,
"E:\Data\table_annotation\tmp\Boris_Shilkov_932d.html_0.xml.html.cell.keys",4.0,5.0,1.0,0.8,0.8,0.8000000000000002,4.0,5.0,1.0,0.8,0.8,0.8000000000000002,
"E:\Data\table_annotation\tmp\Brisbane_Broncos_2007_f85a.html_3.xml.html.cell.keys",8.0,10.0,2.0,0.8,0.8,0.8000000000000002,8.0,10.0,4.0,0.6666666666666666,0.8,0.7272727272727272,
"E:\Data\table_annotation\tmp\Canadian_veteran_licence_plates.html_0.xml.html.cell.keys",5.033333333333333,12.0,6.966666666666667,0.41944444444444445,0.41944444444444445,0.41944444444444445,5.033333333333333,12.0,13.966666666666667,0.2649122807017544,0.41944444444444445,0.3247311827956989,
"E:\Data\table_annotation\tmp\Canton_of_Le_Catelet_05f6.html_0.xml.html.cell.keys",15.5,18.0,2.5,0.8611111111111112,0.8611111111111112,0.8611111111111112,15.5,18.0,3.5,0.8157894736842105,0.8611111111111112,0.8378378378378377,
"E:\Data\table_annotation\tmp\Canton_of_Marquion_e508.html_0.xml.html.cell.keys",17.0,17.0,0.0,1.0,1.0,1.0,17.0,17.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\Capital_and_Counties_b9a1.html_0.xml.html.cell.keys",5.125,8.0,2.875,0.640625,0.640625,0.640625,5.125,8.0,9.875,0.3416666666666667,0.640625,0.44565217391304346,
"E:\Data\table_annotation\tmp\Carrera_Panamericana_4c5a.html_0.xml.html.cell.keys",5.0,5.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\Central_Greece_9697.html_1.xml.html.cell.keys",3.0,8.0,5.0,0.375,0.375,0.375,3.0,8.0,9.0,0.25,0.375,0.3,
"E:\Data\table_annotation\tmp\Central_Highlands_Province_f6e0.html_0.xml.html.cell.keys",10.0,11.0,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,10.0,11.0,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,
"E:\Data\table_annotation\tmp\Chapters_of_Alpha_Kappa_Psi_74d7.html_1.xml.html.cell.keys",20.161111111111108,47.0,26.838888888888892,0.4289598108747044,0.4289598108747044,0.4289598108747044,20.161111111111108,47.0,108.83888888888889,0.15628768303186905,0.4289598108747044,0.22910353535353528,
"E:\Data\table_annotation\tmp\Chicago_Cubs_team_records_b45c.html_12.xml.html.cell.keys",5.0,5.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,
