File,HEADER(0)_cp_y, gs_y, cp_n, p,r,f,HEADER(1)_cp_y, gs_y, cp_n, p,r,f
"E:\Data\table_annotation\tmp\13th_Lok_Sabha_2973.html_3.xml.html.cell.keys",0.5,3.0,2.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.75,3.0,1.25,0.5833333333333334,0.5833333333333334,0.5833333333333334,
"E:\Data\table_annotation\tmp\14th_Lok_Sabha_994e.html_14.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\7_Studios_5645.html_0.xml.html.cell.keys",1.5833333333333333,5.0,2.416666666666667,0.3958333333333333,0.31666666666666665,0.3518518518518519,2.0,5.0,2.0,0.5,0.4,0.4444444444444445,
"E:\Data\table_annotation\tmp\Aeropuertos_y_Servicios_Auxiliares_a1ee.html_0.xml.html.cell.keys",0.5,5.0,4.5,0.1,0.1,0.10000000000000002,1.75,5.0,3.25,0.35,0.35,0.35,
"E:\Data\table_annotation\tmp\Alphabetical_list_of_municipalities_and_communities_in_Greece_8069.html_5.xml.html.cell.keys",0.0,4.0,3.0,0.0,0.0,0.0,1.0,4.0,2.0,0.3333333333333333,0.25,0.28571428571428575,
"E:\Data\table_annotation\tmp\Atlanta_Hawks_3a1a.html_0.xml.html.cell.keys",0.0,6.0,3.0,0.0,0.0,0.0,1.0,6.0,2.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,
"E:\Data\table_annotation\tmp\Aviation_in_Singapore_b8f5.html_0.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.375,1.0,0.625,0.375,0.375,0.375,
"E:\Data\table_annotation\tmp\Baltimore_Mariners_0006.html_0.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Belgian_Ebony_Shoe_b217.html_0.xml.html.cell.keys",1.6666666666666665,6.0,4.333333333333334,0.27777777777777773,0.27777777777777773,0.27777777777777773,3.833333333333333,6.0,2.166666666666667,0.6388888888888888,0.6388888888888888,0.6388888888888888,
"E:\Data\table_annotation\tmp\Beresford_County,_New_South_Wales_9641.html_0.xml.html.cell.keys",0.2857142857142857,3.0,1.7142857142857144,0.14285714285714285,0.09523809523809523,0.11428571428571427,1.1428571428571428,3.0,0.8571428571428571,0.5714285714285714,0.38095238095238093,0.4571428571428571,
"E:\Data\table_annotation\tmp\Best_of_Eurovision_be62.html_0.xml.html.cell.keys",2.176470588235294,4.0,0.8235294117647058,0.7254901960784313,0.5441176470588235,0.6218487394957983,2.264705882352941,4.0,0.7352941176470589,0.7549019607843137,0.5661764705882353,0.6470588235294118,
"E:\Data\table_annotation\tmp\Bishop_of_Tonbridge_e12a.html_0.xml.html.cell.keys",0.0,3.0,1.0,0.0,0.0,0.0,0.5,3.0,0.5,0.5,0.16666666666666666,0.25,
"E:\Data\table_annotation\tmp\Boris_Shilkov_932d.html_0.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Brisbane_Broncos_2007_f85a.html_3.xml.html.cell.keys",0.3333333333333333,2.0,1.6666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,2.0,1.0,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Canadian_veteran_licence_plates.html_0.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Canton_of_Le_Catelet_05f6.html_0.xml.html.cell.keys",0.25,3.0,0.75,0.25,0.08333333333333333,0.125,0.625,3.0,0.375,0.625,0.20833333333333334,0.3125,
"E:\Data\table_annotation\tmp\Canton_of_Marquion_e508.html_0.xml.html.cell.keys",0.25,3.0,0.75,0.25,0.08333333333333333,0.125,0.625,3.0,0.375,0.625,0.20833333333333334,0.3125,
"E:\Data\table_annotation\tmp\Capital_and_Counties_b9a1.html_0.xml.html.cell.keys",0.5,3.0,1.5,0.25,0.16666666666666666,0.2,1.25,3.0,0.75,0.625,0.4166666666666667,0.5,
"E:\Data\table_annotation\tmp\Carrera_Panamericana_4c5a.html_0.xml.html.cell.keys",0.0,2.0,2.0,0.0,0.0,0.0,0.5,2.0,1.5,0.25,0.25,0.25,
"E:\Data\table_annotation\tmp\Central_Greece_9697.html_1.xml.html.cell.keys",0.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.5,0.3333333333333333,0.4,
"E:\Data\table_annotation\tmp\Central_Highlands_Province_f6e0.html_0.xml.html.cell.keys",0.25,4.0,1.75,0.125,0.0625,0.08333333333333333,1.0,4.0,1.0,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\Chapters_of_Alpha_Kappa_Psi_74d7.html_1.xml.html.cell.keys",2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\Chicago_Cubs_team_records_b45c.html_12.xml.html.cell.keys",0.3333333333333333,3.0,0.6666666666666667,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.6666666666666666,3.0,0.33333333333333337,0.6666666666666666,0.2222222222222222,0.3333333333333333,
"E:\Data\table_annotation\tmp\Chief_Minister_of_the_Northern_Territory_be79.html_0.xml.html.cell.keys",0.25,3.0,1.75,0.125,0.08333333333333333,0.1,1.0,3.0,1.0,0.5,0.3333333333333333,0.4,
"E:\Data\table_annotation\tmp\Chinese_swords.html_0.xml.html.cell.keys",0.25,2.0,1.75,0.125,0.125,0.125,0.25,2.0,1.75,0.125,0.125,0.125,
"E:\Data\table_annotation\tmp\Chris_Alajajian_2b21.html_1.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\CMX_discography_7efa.html_0.xml.html.cell.keys",0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Comarques_of_Catalonia_a70c.html_1.xml.html.cell.keys",0.3333333333333333,3.0,2.666666666666667,0.11111111111111109,0.1111111111111111,0.11111111111111109,1.6666666666666665,3.0,1.3333333333333335,0.5555555555555555,0.5555555555555555,0.5555555555555555,
"E:\Data\table_annotation\tmp\Commedia_all'italiana.html_0.xml.html.cell.keys",1.8333333333333333,4.0,1.1666666666666667,0.611111111111111,0.4583333333333333,0.5238095238095237,2.25,4.0,0.75,0.75,0.5625,0.6428571428571429,
"E:\Data\table_annotation\tmp\Communes_of_the_Essonne_department_7d4a.html_1.xml.html.cell.keys",0.25,2.0,0.75,0.25,0.125,0.16666666666666666,0.625,2.0,0.375,0.625,0.3125,0.4166666666666667,
"E:\Data\table_annotation\tmp\Communes_of_the_Var_department_e37f.html_1.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.5,2.0,0.5,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\Comuni_of_the_Province_of_Naples_92ce.html_0.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.5,2.0,0.5,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\County_of_Nares,_Queensland_eccc.html_0.xml.html.cell.keys",0.0,4.0,3.0,0.0,0.0,0.0,1.5,4.0,1.5,0.5,0.375,0.42857142857142855,
"E:\Data\table_annotation\tmp\County_statistics_of_the_United_States_66c4.html_4.xml.html.cell.keys",0.25,3.0,0.75,0.25,0.08333333333333333,0.125,0.625,3.0,0.375,0.625,0.20833333333333334,0.3125,
"E:\Data\table_annotation\tmp\Danish_Superliga_1995-96_829e.html_1.xml.html.cell.keys",0.8333333333333333,2.0,1.1666666666666667,0.41666666666666663,0.41666666666666663,0.41666666666666663,1.4166666666666665,2.0,0.5833333333333334,0.7083333333333333,0.7083333333333333,0.7083333333333334,
"E:\Data\table_annotation\tmp\Danny_DeVito_filmography_9079.html_0.xml.html.cell.keys",1.0,3.0,1.0,0.5,0.3333333333333333,0.4,1.5,3.0,0.5,0.75,0.5,0.6,
"E:\Data\table_annotation\tmp\Demographics_of_the_Swiss_Federal_Council_130f.html_6.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.5,2.0,0.5,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\Diet_Pepsi_NFL_Rookie_of_the_Week_1657.html_1.xml.html.cell.keys",0.5,4.0,3.5,0.125,0.125,0.125,1.8333333333333333,4.0,2.166666666666667,0.4583333333333333,0.4583333333333333,0.4583333333333333,
"E:\Data\table_annotation\tmp\Division_I_94db.html_0.xml.html.cell.keys",0.16666666666666666,4.0,2.8333333333333335,0.05555555555555555,0.041666666666666664,0.04761904761904762,0.9166666666666667,4.0,2.0833333333333335,0.3055555555555556,0.22916666666666669,0.26190476190476186,
"E:\Data\table_annotation\tmp\Eddie_Robinson_Coach_of_the_Year_cc5c.html_0.xml.html.cell.keys",0.0,3.0,2.0,0.0,0.0,0.0,0.5,3.0,1.5,0.25,0.16666666666666666,0.2,
"E:\Data\table_annotation\tmp\Ed_Pimm_3df7.html_0.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Electoral_district_of_Newland_39c6.html_0.xml.html.cell.keys",0.75,3.0,1.25,0.375,0.25,0.3,1.25,3.0,0.75,0.625,0.4166666666666667,0.5,
"E:\Data\table_annotation\tmp\El_Paso,_Texas_243a.html_3.xml.html.cell.keys",0.6666666666666666,5.0,3.3333333333333335,0.16666666666666666,0.13333333333333333,0.14814814814814814,1.25,5.0,2.75,0.3125,0.25,0.2777777777777778,
"E:\Data\table_annotation\tmp\ESPN_NFL_2K_966d.html_0.xml.html.cell.keys",2.0,4.0,1.0,0.6666666666666666,0.5,0.5714285714285715,2.5,4.0,0.5,0.8333333333333334,0.625,0.7142857142857143,
"E:\Data\table_annotation\tmp\Estonia.html_2.xml.html.cell.keys",0.2,1.0,0.8,0.2,0.2,0.20000000000000004,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,
"E:\Data\table_annotation\tmp\EuroBasket_2007_squads_8fed.html_13.xml.html.cell.keys",0.3333333333333333,5.0,2.666666666666667,0.11111111111111109,0.06666666666666667,0.08333333333333333,1.1666666666666665,5.0,1.8333333333333335,0.38888888888888884,0.2333333333333333,0.29166666666666663,
"E:\Data\table_annotation\tmp\Fast_bowling.html_1.xml.html.cell.keys",0.3333333333333333,2.0,1.6666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7291666666666666,2.0,1.2708333333333335,0.3645833333333333,0.3645833333333333,0.36458333333333326,
"E:\Data\table_annotation\tmp\FIFA_100_44ce.html_7.xml.html.cell.keys",0.3333333333333333,3.0,1.6666666666666667,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.6666666666666666,3.0,1.3333333333333335,0.3333333333333333,0.2222222222222222,0.26666666666666666,
"E:\Data\table_annotation\tmp\Fifth_dynasty_of_Egypt_687d.html_0.xml.html.cell.keys",1.5,5.0,2.5,0.375,0.3,0.33333333333333326,2.75,5.0,1.25,0.6875,0.55,0.6111111111111112,
"E:\Data\table_annotation\tmp\file398415_0_cols1_rows58.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\file404761_0_cols1_rows11.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
