File,REL(0)_cp_y, gs_y, cp_n, p,r,f,REL(1)_cp_y, gs_y, cp_n, p,r,f
"E:\Data\table_annotation\tmp\13th_Lok_Sabha_2973.html_3.xml.html.cell.keys",1.0,2.0,1.0,0.5,0.5,0.5,1.5,2.0,0.5,0.75,0.75,0.75,
"E:\Data\table_annotation\tmp\7_Studios_5645.html_0.xml.html.cell.keys",2.0,4.0,0.0,1.0,0.5,0.6666666666666666,2.0,4.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\Aeropuertos_y_Servicios_Auxiliares_a1ee.html_0.xml.html.cell.keys",3.0,4.0,0.0,1.0,0.75,0.8571428571428571,3.0,4.0,0.5,0.8571428571428571,0.75,0.7999999999999999,
"E:\Data\table_annotation\tmp\Alphabetical_list_of_municipalities_and_communities_in_Greece_8069.html_5.xml.html.cell.keys",1.0,3.0,0.0,1.0,0.3333333333333333,0.5,1.0,3.0,0.0,1.0,0.3333333333333333,0.5,
"E:\Data\table_annotation\tmp\Atlanta_Hawks_3a1a.html_0.xml.html.cell.keys",0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Belgian_Ebony_Shoe_b217.html_0.xml.html.cell.keys",1.5,3.0,1.5,0.5,0.5,0.5,2.25,3.0,0.75,0.75,0.75,0.75,
"E:\Data\table_annotation\tmp\Beresford_County,_New_South_Wales_9641.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Best_of_Eurovision_be62.html_0.xml.html.cell.keys",2.0,3.0,0.0,1.0,0.6666666666666666,0.8,2.0,3.0,0.0,1.0,0.6666666666666666,0.8,
"E:\Data\table_annotation\tmp\Bishop_of_Tonbridge_e12a.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Brisbane_Broncos_2007_f85a.html_3.xml.html.cell.keys",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\Canton_of_Le_Catelet_05f6.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Canton_of_Marquion_e508.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Capital_and_Counties_b9a1.html_0.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\Central_Greece_9697.html_1.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\Central_Highlands_Province_f6e0.html_0.xml.html.cell.keys",1.0,3.0,0.0,1.0,0.3333333333333333,0.5,1.0,3.0,0.0,1.0,0.3333333333333333,0.5,
"E:\Data\table_annotation\tmp\Chicago_Cubs_team_records_b45c.html_12.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Chief_Minister_of_the_Northern_Territory_be79.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\CMX_discography_7efa.html_0.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Comarques_of_Catalonia_a70c.html_1.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Commedia_all'italiana.html_0.xml.html.cell.keys",2.0,3.0,0.0,1.0,0.6666666666666666,0.8,2.0,3.0,0.0,1.0,0.6666666666666666,0.8,
"E:\Data\table_annotation\tmp\Communes_of_the_Essonne_department_7d4a.html_1.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Communes_of_the_Var_department_e37f.html_1.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Comuni_of_the_Province_of_Naples_92ce.html_0.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\County_of_Nares,_Queensland_eccc.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\County_statistics_of_the_United_States_66c4.html_4.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Danish_Superliga_1995-96_829e.html_1.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Danny_DeVito_filmography_9079.html_0.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\Demographics_of_the_Swiss_Federal_Council_130f.html_6.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Diet_Pepsi_NFL_Rookie_of_the_Week_1657.html_1.xml.html.cell.keys",1.0,2.0,1.0,0.5,0.5,0.5,1.5,2.0,0.5,0.75,0.75,0.75,
"E:\Data\table_annotation\tmp\Division_I_94db.html_0.xml.html.cell.keys",1.0,3.0,0.0,1.0,0.3333333333333333,0.5,1.0,3.0,0.0,1.0,0.3333333333333333,0.5,
"E:\Data\table_annotation\tmp\Eddie_Robinson_Coach_of_the_Year_cc5c.html_0.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Electoral_district_of_Newland_39c6.html_0.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\El_Paso,_Texas_243a.html_3.xml.html.cell.keys",0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\ESPN_NFL_2K_966d.html_0.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\EuroBasket_2007_squads_8fed.html_13.xml.html.cell.keys",0.0,4.0,1.0,0.0,0.0,0.0,0.5,4.0,0.5,0.5,0.125,0.2,
"E:\Data\table_annotation\tmp\Fast_bowling.html_1.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\FIFA_100_44ce.html_7.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Fifth_dynasty_of_Egypt_687d.html_0.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\file405599_0_cols1_rows23.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\file440470_0_cols1_rows26.xml.html.cell.keys",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\Final_24.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Fixed_dose_combination_(antiretroviral).html_0.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\Former_Southern_Conference_members_0958.html_0.xml.html.cell.keys",2.0,4.0,0.0,1.0,0.5,0.6666666666666666,2.5,4.0,0.0,1.0,0.625,0.7692307692307693,
"E:\Data\table_annotation\tmp\Generation_Adidas_28bc.html_4.xml.html.cell.keys",1.0,4.0,0.0,1.0,0.25,0.4,1.0,4.0,0.0,1.0,0.25,0.4,
"E:\Data\table_annotation\tmp\Gowen_County,_New_South_Wales_ef76.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Hladno_pivo.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\House_(TV_series)_e301.html_0.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\Houston_Texans_draft_history_2b62.html_6.xml.html.cell.keys",1.5,3.0,0.5,0.75,0.5,0.6,1.75,3.0,0.25,0.875,0.5833333333333334,0.7000000000000001,
"E:\Data\table_annotation\tmp\Independent_Wrestling_Federation_(Russia)_2ec2.html_0.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Iowa.html_4.xml.html.cell.keys",0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Jeff_Tweedy_ce20.html_1.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Juventus_F.C._statistics_and_records_26e0.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Lee_County,_Florida_fdc0.html_0.xml.html.cell.keys",0.5,3.0,0.5,0.5,0.16666666666666666,0.25,0.5,3.0,0.5,0.5,0.16666666666666666,0.25,
"E:\Data\table_annotation\tmp\List_of_African_countries_by_GDP_per_capita_b8bb.html_0.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_airports_in_the_United_Kingdom_16d1.html_1.xml.html.cell.keys",4.0,5.0,0.0,1.0,0.8,0.888888888888889,4.0,5.0,0.5,0.8888888888888888,0.8,0.8421052631578948,
"E:\Data\table_annotation\tmp\List_of_Athabasca_University_people_bac1.html_0.xml.html.cell.keys",0.25,1.0,0.75,0.25,0.25,0.25,0.25,1.0,0.75,0.25,0.25,0.25,
"E:\Data\table_annotation\tmp\List_of_Australian_game_shows_0fc4.html_1.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\List_of_birds_of_Thailand_4230.html_47.xml.html.cell.keys",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\List_of_Canadian_airports_by_location_indicator~_CJ_27f2.html_0.xml.html.cell.keys",2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\List_of_Canadian_airports_by_location_indicator~_CV_5365.html_0.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_cast_members_of_The_Simpsons_878d.html_2.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_Catalan_language_television_channels_169d.html_14.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_champagne_producers.html_0.xml.html.cell.keys",0.0,3.0,2.0,0.0,0.0,0.0,0.5,3.0,1.5,0.25,0.16666666666666666,0.2,
"E:\Data\table_annotation\tmp\List_of_cities_in_Norway_c220.html_0.xml.html.cell.keys",1.0,4.0,0.0,1.0,0.25,0.4,1.0,4.0,0.5,0.6666666666666666,0.25,0.36363636363636365,
"E:\Data\table_annotation\tmp\List_of_Disney_theatrical_animated_features_b17e.html_0.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_Doctor_Who_serials_d22a.html_4.xml.html.cell.keys",1.0,4.0,0.0,1.0,0.25,0.4,1.0,4.0,0.0,1.0,0.25,0.4,
"E:\Data\table_annotation\tmp\List_of_expressways_and_highways_in_Malaysia_fd41.html_2.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_Finnish_composers_0e0c.html_1.xml.html.cell.keys",0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\List_of_foreign_ministers_in_1990.html_2.xml.html.cell.keys",0.6666666666666666,2.0,0.33333333333333337,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,2.0,0.33333333333333337,0.6666666666666666,0.3333333333333333,0.4444444444444444,
"E:\Data\table_annotation\tmp\List_of_game_show_hosts.html_4.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\List_of_Governors_of_Kansas_38ec.html_3.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
